realization,n_pixels_dem_domain,domain_sum_6h,domain_mean_6h,domain_p80_6h,domain_p90_6h,domain_p99_9_6h,domain_max_6h
0,121,4219.333,34.87052,43.565857,47.283844,51.368397,51.40205
1,121,3303.834,27.304413,42.999,52.262856,65.350334,65.425514
2,121,2796.969,23.115446,33.878532,47.54858,67.96802,68.3075
3,121,2894.876,23.924595,41.431507,49.160362,62.25491,62.685486
4,121,1269.6542,10.49301,21.31706,25.976036,35.50655,35.930397
5,121,2203.116,18.20757,35.425083,42.22067,60.896667,61.014183
6,121,3488.4026,28.829773,39.086056,48.867035,68.16518,68.44477
7,121,2738.3774,22.631218,36.659336,45.951298,67.68848,67.8929
8,121,2422.9202,20.024134,31.657042,53.603504,76.77426,77.201485
9,121,3730.6082,30.831472,44.831306,54.808327,69.613884,69.81032
10,121,2373.475,19.615498,42.273872,48.000725,65.5619,65.6341
